TeamID,Team Name,Season,Number Wins,Number Losses,PPG,PPGA
1101,Abilene Chr,1985,0,0,0.0,0.0
1101,Abilene Chr,1986,0,0,0.0,0.0
1101,Abilene Chr,1987,0,0,0.0,0.0
1101,Abilene Chr,1988,0,0,0.0,0.0
1101,Abilene Chr,1989,0,0,0.0,0.0
1101,Abilene Chr,1990,0,0,0.0,0.0
1101,Abilene Chr,1991,0,0,0.0,0.0
1101,Abilene Chr,1992,0,0,0.0,0.0
1101,Abilene Chr,1993,0,0,0.0,0.0
1101,Abilene Chr,1994,0,0,0.0,0.0
1101,Abilene Chr,1995,0,0,0.0,0.0
1101,Abilene Chr,1996,0,0,0.0,0.0
1101,Abilene Chr,1997,0,0,0.0,0.0
1101,Abilene Chr,1998,0,0,0.0,0.0
1101,Abilene Chr,1999,0,0,0.0,0.0
1101,Abilene Chr,2000,0,0,0.0,0.0
1101,Abilene Chr,2001,0,0,0.0,0.0
1101,Abilene Chr,2002,0,0,0.0,0.0
1101,Abilene Chr,2003,0,0,0.0,0.0
1101,Abilene Chr,2004,0,0,0.0,0.0
1101,Abilene Chr,2005,0,0,0.0,0.0
1101,Abilene Chr,2006,0,0,0.0,0.0
1101,Abilene Chr,2007,0,0,0.0,0.0
1101,Abilene Chr,2008,0,0,0.0,0.0
1101,Abilene Chr,2009,0,0,0.0,0.0
1101,Abilene Chr,2010,0,0,0.0,0.0
1101,Abilene Chr,2011,0,0,0.0,0.0
1101,Abilene Chr,2012,0,0,0.0,0.0
1101,Abilene Chr,2013,0,0,0.0,0.0
1101,Abilene Chr,2014,2,19,63.1428571429,78.619047619
1101,Abilene Chr,2015,7,21,61.0,71.8571428571
1101,Abilene Chr,2016,9,18,69.8518518519,76.2592592593
1101,Abilene Chr,2017,9,16,67.88,72.64
1102,Air Force,1985,5,19,63.0833333333,68.875
1102,Air Force,1986,6,19,58.56,65.68
1102,Air Force,1987,8,15,71.0,75.0869565217
1102,Air Force,1988,7,17,64.25,73.5416666667
1102,Air Force,1989,10,14,68.4583333333,68.9166666667
1102,Air Force,1990,9,19,63.7142857143,69.2857142857
1102,Air Force,1991,5,20,58.0,66.36
1102,Air Force,1992,5,20,60.88,69.56
1102,Air Force,1993,5,19,62.2083333333,71.7083333333
1102,Air Force,1994,4,18,67.1818181818,75.8636363636
1102,Air Force,1995,5,19,65.375,74.375
1102,Air Force,1996,2,22,65.25,75.9166666667
1102,Air Force,1997,4,18,66.9545454545,73.0454545455
1102,Air Force,1998,5,16,62.7619047619,70.8571428571
1102,Air Force,1999,7,16,74.8260869565,81.347826087
1102,Air Force,2000,6,20,66.5,74.1538461538
1102,Air Force,2001,8,21,57.4827586207,63.0344827586
1102,Air Force,2002,9,19,57.3214285714,61.5
1102,Air Force,2003,12,16,57.25,57.0
1102,Air Force,2004,22,6,60.1785714286,50.4285714286
1102,Air Force,2005,17,12,61.2413793103,55.1379310345
1102,Air Force,2006,22,6,63.5,54.5714285714
1102,Air Force,2007,22,8,68.5,56.9
1102,Air Force,2008,14,14,57.5714285714,57.3214285714
1102,Air Force,2009,8,21,57.4137931034,62.3103448276
1102,Air Force,2010,8,21,55.6206896552,62.9655172414
1102,Air Force,2011,14,14,64.25,64.7857142857
1102,Air Force,2012,11,16,60.6666666667,63.2592592593
1102,Air Force,2013,15,13,68.9285714286,68.4285714286
1102,Air Force,2014,10,18,64.5714285714,70.3571428571
1102,Air Force,2015,12,17,64.724137931,65.8620689655
1102,Air Force,2016,12,18,67.4333333333,73.6
1102,Air Force,2017,10,21,71.5483870968,75.6129032258
1103,Akron,1985,9,14,61.0434782609,64.0869565217
1103,Akron,1986,18,7,73.0,68.76
1103,Akron,1987,18,8,75.8461538462,69.1153846154
1103,Akron,1988,18,7,79.04,69.36
1103,Akron,1989,21,7,85.8571428571,70.3571428571
1103,Akron,1990,14,12,72.1538461538,71.4615384615
1103,Akron,1991,14,13,67.7777777778,67.3703703704
1103,Akron,1992,15,12,68.5555555556,70.1851851852
